[DEBUG] 21:22:46:913 CLIENT/(14719:14719): Me conecto al ip: 127.0.0.1, puerto: 6009
[DEBUG] 15:05:29:370 CLIENT/(2057:2057): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:26:08:387 CLIENT/(15653:15653): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 19:48:44:749 CLIENT/(15395:15395): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 19:55:37:482 CLIENT/(15781:15781): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 19:56:48:230 CLIENT/(15851:15851): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 19:58:51:104 CLIENT/(15967:15967): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 20:07:28:864 CLIENT/(16595:16595): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 20:11:25:510 CLIENT/(16833:16833): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:48:05:778 CLIENT/(21451:21451): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:52:21:456 CLIENT/(21701:21701): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:53:28:322 CLIENT/(21777:21777): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:05:22:052 CLIENT/(22274:22274): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 11:42:41:701 CLIENT/(4810:4810): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 11:58:26:513 CLIENT/(5725:5725): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 11:59:26:865 CLIENT/(5790:5790): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:00:17:608 CLIENT/(5846:5846): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:13:40:564 CLIENT/(6569:6569): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:14:52:666 CLIENT/(6658:6658): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:15:17:926 CLIENT/(6687:6687): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:15:56:777 CLIENT/(6742:6742): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:16:31:320 CLIENT/(6785:6785): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:32:14:876 CLIENT/(7686:7686): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 12:33:05:905 CLIENT/(7748:7748): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:34:37:503 CLIENT/(7816:7816): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:35:18:024 CLIENT/(7874:7874): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:37:00:541 CLIENT/(7982:7982): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:37:41:675 CLIENT/(8049:8049): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:39:04:606 CLIENT/(8149:8149): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:42:05:355 CLIENT/(8336:8336): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:07:06:231 CLIENT/(15192:15192): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 15:07:14:720 CLIENT/(15204:15204): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:08:58:774 CLIENT/(15318:15318): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:44:07:924 CLIENT/(17053:17053): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:45:39:930 CLIENT/(17187:17187): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:48:03:269 CLIENT/(17374:17374): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:49:14:172 CLIENT/(17461:17461): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:57:38:224 CLIENT/(17884:17884): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:58:53:193 CLIENT/(17987:17987): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:00:42:851 CLIENT/(18101:18101): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:01:29:338 CLIENT/(18169:18169): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:10:56:006 CLIENT/(18607:18607): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:11:16:545 CLIENT/(18652:18652): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:15:43:079 CLIENT/(18896:18896): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:17:29:570 CLIENT/(19033:19033): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:17:48:901 CLIENT/(19074:19074): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:17:56:063 CLIENT/(19084:19084): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:17:57:629 CLIENT/(19088:19088): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:31:12:117 CLIENT/(22635:22635): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:33:40:728 CLIENT/(22809:22809): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:35:06:747 CLIENT/(22915:22915): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:35:51:000 CLIENT/(22974:22974): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 17:35:58:653 CLIENT/(22985:22985): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:36:38:874 CLIENT/(23053:23053): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:56:49:701 CLIENT/(24157:24157): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:57:23:540 CLIENT/(24208:24208): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 17:57:28:662 CLIENT/(24215:24215): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:58:23:956 CLIENT/(24299:24299): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:59:13:306 CLIENT/(24367:24367): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:59:23:298 CLIENT/(24379:24379): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:01:54:264 CLIENT/(24530:24530): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:01:59:752 CLIENT/(24537:24537): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:34:47:573 CLIENT/(26214:26214): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:38:34:401 CLIENT/(26436:26436): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:38:59:122 CLIENT/(26483:26483): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:43:13:033 CLIENT/(26718:26718): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:50:57:784 CLIENT/(27128:27128): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:53:21:923 CLIENT/(27279:27279): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 19:56:53:250 CLIENT/(30502:30502): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 19:58:29:308 CLIENT/(30617:30617): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 19:59:01:882 CLIENT/(30673:30673): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 19:59:25:889 CLIENT/(30690:30690): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:39:38:476 CLIENT/(14472:14472): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 12:42:50:570 CLIENT/(14688:14688): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:21:29:561 CLIENT/(17306:17306): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:23:13:109 CLIENT/(17449:17449): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:24:36:783 CLIENT/(17546:17546): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:25:39:036 CLIENT/(17638:17638): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:27:06:684 CLIENT/(17869:17869): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:28:36:023 CLIENT/(18070:18070): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:40:55:671 CLIENT/(18705:18705): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:41:17:768 CLIENT/(18745:18745): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:42:45:275 CLIENT/(18845:18845): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:44:02:360 CLIENT/(18966:18966): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:02:57:561 CLIENT/(26594:26594): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:01:08:419 CLIENT/(29570:29570): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:06:34:112 CLIENT/(29889:29889): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:22:01:848 CLIENT/(2025:2025): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:33:43:340 CLIENT/(2754:2754): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:39:20:522 CLIENT/(3122:3122): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:41:10:224 CLIENT/(3253:3253): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:43:45:252 CLIENT/(3436:3436): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:43:50:486 CLIENT/(3443:3443): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 20:41:30:915 CLIENT/(10406:10406): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 20:42:11:049 CLIENT/(10458:10458): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 20:46:00:481 CLIENT/(10701:10701): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:03:38:596 CLIENT/(11836:11836): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:04:11:034 CLIENT/(11891:11891): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:08:37:959 CLIENT/(12171:12171): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:09:00:553 CLIENT/(12224:12224): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:09:40:414 CLIENT/(12280:12280): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:10:00:859 CLIENT/(12309:12309): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:41:46:712 CLIENT/(14243:14243): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:43:02:619 CLIENT/(14359:14359): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:44:18:604 CLIENT/(14468:14468): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:45:22:891 CLIENT/(14556:14556): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:45:31:417 CLIENT/(14568:14568): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:51:40:752 CLIENT/(14979:14979): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:53:48:130 CLIENT/(15131:15131): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:05:08:720 CLIENT/(15781:15781): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:05:34:329 CLIENT/(15820:15820): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:07:44:037 CLIENT/(15984:15984): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:08:18:545 CLIENT/(16045:16045): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:09:11:601 CLIENT/(16106:16106): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:10:54:517 CLIENT/(16228:16228): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:12:31:287 CLIENT/(16342:16342): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:12:56:378 CLIENT/(16391:16391): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 22:13:45:361 CLIENT/(16424:16424): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 16:08:36:397 CLIENT/(11515:11515): Me conecto al ip: 127.0.0.1, puerto: 5099 con exito!
[DEBUG] 16:08:36:399 CLIENT/(11515:11515): Me conecto al ip: 127.0.0.1, puerto: 5099 con exito!
